User_ID,User_name,Reputation,Comment,Comment_ID,Date,Post_ID
4332130,jsmiao,75,This worked for me. Thanks,78901720,1504137583,45030185
4759794,Augusto,446,"Thank you Miltox. But the website responds both to GET and POST requests. It responds to GET requests with no parameters by showing values for current month, and responds to POST requests with specified month and year parameters. You can test it yourself using Postman. You can also test it by navigating to the website, selecting the dropboxes with any valid day and month values and pressing Consultar button. This will generate a POST request that you can inspect using the browser console.",78901719,1504137576,45971157
8518689,turmuka,572,"does it change anything? just use your code in script tag, you don&#39;t have do ejs scripting to use the event in a script tag, then you can just use ejs if you ever wanna display anything on the html <i>outside</i> the script tags",78901718,1504137575,45971233
8107092,Dy.Lee,1251,"@MGae2M, I understand your issue. I add some code at my answer.",78901717,1504137571,45905272
2513788,Nayeem,398,We are using MQ 8,78901716,1504137569,45969323
278042,jkff,8040,"OK, to clarify some more: do you have a nested loop inside this &quot;for (V1 df : tupleAT)&quot; iterating over the result of another getAll()? Try changing your code a bit: List&lt;V1&gt; tupleAT = new ArrayList&lt;V1&gt;(e.getValue().getAll(tupleAvroTrans)) and likewise for the other side of the join. It might help a lot. If it doesn&#39;t, contact dataflow-feedback@google.com with more details.",78901715,1504137567,45944722
3276790,jasmo2,389,What do mean with &#39;LastEvaluatedKey&#39; ?,78901712,1504137552,34428286
441757,sideshowbarker,17710,"As noted in comments at <a href=""https://stackoverflow.com/questions/45967591/config-cors-in-gorilla-mux"" title=""config cors in gorilla mux"">stackoverflow.com/questions/45967591/config-cors-in-gorilla-&zwnj;&#8203;mux</a> it seems your request is adding an &quot;<code>osn</code>&quot; request header—along with adding an Access-Control-Allow-Origin that it definitely has no need to be adding—&amp; that’s what’s triggering the browser to do the preflight OPTIONS. And as also mentioned in the comments in that other question, the problem’s that your server’s responding with a 403 for OPTIONS request to whatever URL you’re sending the request to. So you need to configure the backend to not require authentication for OPTIONS request to that route",78901711,1504137550,45965812
7586528,Anton Dementiev,976,"Here&#39;s how the result of calling getValues() on a &#39;range&#39; looks like <a href=""https://prntscr.com/gf5u6w"" rel=""nofollow noreferrer"">prntscr.com/gf5u6w</a> It&#39;s a 2D array (array of arrays) where each inner array represents a row of data. You then call the forEach() method on the array to iterate over the values (forEach() is a part of Array.prototype, which means you can all it on any array). Here, &#39;item&#39; represents one of the inner arrays. We get age value by selecting the first element from the inner array (item[0]).",78901710,1504137540,45901043
8099351,C. Lee,8,"One more question, sorry! Currently my StreamIn function replaces the entire text in the Rich Edit. How can I append it?",78901709,1504137513,45910422
7675833,Travis Acton,1836,"Would probably be best if you further defined the parameters around your application. For example, is it available internally only/externally/both? Is there an onsite implementation of active directory? Azure active directory? Are you hosting it onsite? Azure?external provider?",78901708,1504137507,45835113
3985720,Learner,178,"Yes,The message id is unique.",78901707,1504137507,45966769
558724,Jean Paul,455,"This is a very nice advice, specially if you are reusing  a dialog with different themes, thank you!",78901706,1504137497,18628315
2178809,Sibish,103,"After cloning, when you modify the original object, it is modifying the clone as well.",78901705,1504137493,2847896
8459940,Jily,4,then why call &quot;export&quot; in /etc/environment?,78901704,1504137493,45956930
2320035,sascha,8241,"Hard to see the exact task here, but of course you might pre-allocate d_arr as your size is a-priori known and extending is costly! Frequently changing sizes of array-based data-structures is always slow!",78901703,1504137485,45969563
1743580,Michael G. Noll,4793,"Clarification: Using the &quot;accessing local state&quot; methods of the API for Interactive Queries (like your <code>streams.store(...)</code> call in application 2 above) only works for the same application that also creates/maintains these local state stores.  You can of course use Interactive Queries to access this state data across different applications, but for this you will need to use an RPC layer in combination with Interactive Queries -- see <a href=""http://docs.confluent.io/current/streams/developer-guide.html#querying-remote-state-stores-for-the-entire-application"" rel=""nofollow noreferrer"">docs.confluent.io/current/streams/&hellip;</a>.",78901702,1504137473,45970197
6733972,sarah123,26,"I used it and it works well. . However, in my case, I wanted to use the compile the produced c file with clang to make IR file. However, running IR file, the output is not desirable. Any idea in this particular case?",78901700,1504137472,45964017
2357112,user2357112,106676,The fact that this function is called millions of times is already a warning sign; you may want to change that.,78901696,1504137422,45969563
1843445,Peter Isaac,6,finally I found the answer I had to change my web.config file to allow server send video files     &lt;staticContent&gt;        &lt;mimeMap fileExtension=&quot;mp4&quot; mimeType=&quot;video/mp4&quot; /&gt;       &lt;mimeMap fileExtension=&quot;m4v&quot; mimeType=&quot;video/m4v&quot; /&gt;       &lt;mimeMap fileExtension=&quot;ogg&quot; mimeType=&quot;video/ogg&quot; /&gt;       &lt;mimeMap fileExtension=&quot;ogv&quot; mimeType=&quot;video/ogg&quot; /&gt;       &lt;mimeMap fileExtension=&quot;webm&quot; mimeType=&quot;video/webm&quot; /&gt;     &lt;/staticContent&gt;   &lt;/system.webServer&gt;,78901695,1504137418,45313537
553003,Ptival,6416,"One of my problems with the explicit <code>fix</code> is that my proof contexts look like this: <a href=""http://paste.awesom.eu/wERj"" rel=""nofollow noreferrer"">paste.awesom.eu/wERj</a>",78901694,1504137406,45970766
416631,Kenny Wyland,9794,"And my QA testers are going to be testing Android 5.0+ so I won&#39;t be able to use the 7.0+ solution, but I&#39;ll definitely read through that for future knowledge!",78901693,1504137404,45971094
4252352,Mark Keen,2828,<code>I do not have my data that is stored in an SQLite database</code> - have you pulled the database file off your device <code>adb pull data&#47;data&#47;your.package.name&#47;databases&#47;your_database_name</code> to check - note will require rooted device (aka android emulator) to pull file. Also check the return of <code>insert</code> in <code>insertData</code> - you are arbitrarily returning <code>true</code> regardless.,78901692,1504137401,45971275
6363273,Ryan Gibbs,67,What&#39;s in the GenerateStreamFromString() method or what is its output? You could try putting a breakpoint there to see if that is returning what you are expecting it to return.,78901691,1504137398,45970749
8516173,LasVegasCoder,463,@Dayne what is the output of var_dump( $result);,78901690,1504137387,45970964
2226988,Tom Blodget,12873,"Since this is a programming site, perhaps you are interested in some programming languages/environments. Please add that to your question, if applicable.",78901689,1504137386,45969397
4578075,Tim Wilcox,35,I have to put this project on ice for a bit. Attempting to put these fixed width files into sql instead of manipulating them in R. Thanks for the help,78901688,1504137383,45967700
1795570,Joe Jankowiak,122,echo &quot;SELECT * FROM user WHERE username = &#39;$username&#39;  		and password = &#39;$password&#39;&quot;;,78901686,1504137378,45971151
8446717,M Z,11,@BrianGottier Great idea!,78901685,1504137375,45969830
1795570,Joe Jankowiak,122,Can you print out your SQL statement and paste it here,78901684,1504137366,45971151
14104,epascarello,134175,So use join() with whatever you want? Or reduce....,78901682,1504137354,45971303
1143123,owenfi,1617,Similar fix for setting up Chrome for js debugging: <code>&quot;runtimeExecutable&quot;: &quot;&#47;Applications&#47;Chrome.app&#47;Contents&#47;MacOS&#47;Google Chrome&quot;</code>,78901681,1504137354,40547519
2320035,sascha,8241,Again too broad. You should mention if those might differ by shapes and size and if this is relevant here. We don&#39;t know that. (and is not accurate sounds strange; this is fully deterministic and correct; but of course it might not be doing what you think it&#39;s doing),78901680,1504137343,45971257
1447129,Vini App,743,You want to change it through storyboard or code? And you want to apply this to one view controller or through out the app?,78901679,1504137336,45969629
8181085,Collin DeSoto,40,I forgot to say the events are being pulled from mongodb,78901677,1504137332,45971233
1594041,MrJack Mcfreder,115,"Thank you I got it to work after I replaced <code>add_action(&#39;content_save_pre&#39;, &#39;remove_post_image&#39;);</code> with <code>add_action(&#39;the_content, &#39;remove_post_image&#39;);</code>   I was hoping to delete the span tag before it is published..",78901676,1504137326,45971023
1223975,Alexander Mills,8250,what about on MacOS machines? what is the analogue to <code>-v &#47;var&#47;run&#47;docker.sock:&#47;var&#47;run&#47;docker.sock</code> on MacOS? thx,78901675,1504137325,33003273
1536050,KinsDotNet,530,"I appreciate your answer for explaining my mistake, just to let you know. I upvoted it as well. I only chose the other answer because it&#39;s a better practice than what I was trying to do and if somebody googles this, I&#39;d rather they see the best practice first.",78901672,1504137321,45969277
7264964,Paolo,1069,"What are you trying to decode? <code>(E, Double) -&gt; (E)</code> doesn’t conform to <code>Decodable</code> and I don’t see how that could be represented in JSON, etc.",78901671,1504137313,45970903
8540535,Piero G.,16,"Thanks Sascha, I tried with np.unique but it compares the 2D arrays not as a whole element but by its internal numbers and the comparison is not accurate. Think that function is more useful with 1D arrays. Will investigate about Hashes and see what can i find",78901670,1504137300,45971257
405550,Zaz,19560,"@ayushsharma: Use JS or see <a href=""https://stackoverflow.com/questions/17100235/make-css-hover-state-remain-after-unhovering"">Make CSS Hover state remain after “unhovering”</a>:  One hack suggested there is <code>#element{transition: 9999999s}</code> (which makes the transition back to normal take forever) and <code>#element:hover{transition: .3s}</code> (or however long you want the rotation to take).",78901669,1504137299,29884264
8246827,Omar Jandali,69,I have tried everything and it is still not printing the json data. so i have to create a template for it to display in an html file...,78901666,1504137292,45970161
514878,FluffyKitten,2556,"Glad I could help! That is a very simple example I used, so I suggest doing some online tutorials about using CSS for positioning, as it can get very complex very quickly, especially if you are working on a responsive website.",78901665,1504137288,45971153
416631,Kenny Wyland,9794,"I&#39;m using com.google.api.client.http.* found at <a href=""https://developers.google.com/api-client-library/java/"" rel=""nofollow noreferrer"">developers.google.com/api-client-library/java</a>",78901663,1504137274,45971094
8518689,turmuka,572,"then define them in the script tags, and whenever you will post them to the html just use it like this @CollinDeSoto",78901662,1504137269,45971233
1405588,o11c,7525,"Use <code>find(1)</code>, which allows specifying an arbitrary expression for what should be matched, then use its <code>-exec mv {} &quot;$TDIR&quot; \;</code> option",78901661,1504137265,45971154
8538772,costateixeira,1,This seems indeed to be a bug in versions 10.2 and above. Will do some more tests and report an issue.,78901659,1504137246,45964454
126278,Bob77,11711,"<code>Val()</code> is bad, m&#39;kay?",78901658,1504137232,45932855
4286795,Sparga,382,Do you know if the distortion comes from the image capture or the video composition?,78901657,1504137223,45773195
3995712,Douglas Parker,102,"If I&#39;m understanding correctly, then a program which did standard file IO would require a <code>main</code> that returned an IO action. As a result, even programs which do <i>not</i> perform file IO still need to return an IO action. Ok, I think I get why stdout wouldn&#39;t work in this model. But couldn&#39;t you still do something like <code>main :: String -&gt; [String] -&gt; String -&gt; IO a</code> and still pass inputs as direct arguments?",78901655,1504137208,45971057
8518353,Aaron K.,86,"Have you checked out this? <a href=""https://stackoverflow.com/questions/4809451/date-validator-on-datepicker-trigger-false-negatives-in-ie7-ie8"" title=""date validator on datepicker trigger false negatives in ie7 ie8"">stackoverflow.com/questions/4809451/&hellip;</a>",78901654,1504137201,45971262
7954280,Tom N.,169,"This is perfect, thank you!",78901653,1504137193,45971153
2442613,Paul Cornelius,2777,"That&#39;s the point I&#39;m trying to make.  If (1) the CPU is idle waiting for the network, and (2) your application requires the network, then you can&#39;t speed up your application by using the CPU more efficiently. Threading, multiprocessing or event loops can only make a difference if they allow idle cycles of the CPU to do something useful.  As I write this comment, my CPU is mostly idle waiting for me to type the next key.  I don&#39;t see that as a problem, because the CPU is not the thing that&#39;s preventing me from finishing faster.",78901650,1504137168,45950634
1416121,so cal cheesehead,993,what does TestBase look like? Why do all the classes extend it and they each have their own driver instance except for Login?,78901649,1504137165,45971059
2313242,csling,181,Perfection for my scenerio. Thank you!,78901648,1504137160,45963539
